Date,Open,High,Low,Close,Volume
2005-02-28,242.47,261.13,242.47,260.06,
2005-03-31,260.06,265.19,253.05,256.27,
2005-04-30,256.27,265.17,241.98,243.53,
2005-05-31,243.53,260.33,243.53,258.37,
2005-06-30,258.37,283.78,258.06,283.41,
2005-07-31,283.41,298.59,280.3,298.56,
2005-08-31,298.56,317.89,297.62,315.97,
2005-09-30,315.97,330.24,315.63,328.16,
2005-10-31,328.16,330.39,277.53,302.22,
2005-11-30,302.22,316.41,296.86,314.23,
2005-12-31,314.23,335.28,314.23,332.51,
2006-01-31,332.51,361.8,332.51,355.2,
2006-02-28,355.2,372.12,344.6,366.06,
2006-03-31,366.06,401.17,363.78,396.3,
2006-04-30,396.3,424.52,393.55,407.02,
2006-05-31,407.02,430.88,351.92,381.43,
2006-06-30,381.43,393.58,335.33,376.44,
2006-07-31,376.44,390.61,362.43,380.99,
2006-08-31,380.99,388.63,370.84,382.17,
2006-09-30,382.17,395.6,353.03,371.59,
2006-10-31,371.59,407.39,357.18,402.69,
2006-11-30,402.69,422.9,401.02,412.99,
2006-12-31,412.99,447.49,410.86,440.36,
2007-01-31,440.36,463.74,422.21,460.74,
2007-02-28,460.74,473.41,435.97,440.59,
2007-03-31,440.59,466.17,423.19,461.3,
2007-04-30,461.3,482.04,459.73,477.61,
2007-05-31,477.61,498.32,467.5,496.26,
2007-06-30,496.26,511.17,474.31,508.24,
2007-07-31,508.24,526.05,481.72,495.57,
2007-08-31,495.57,495.57,434.52,473.56,
2007-09-30,473.56,502.38,467.71,496.29,
2007-10-31,496.29,515.94,480.69,514.09,
2007-11-30,514.09,519.08,458.97,492.83,
2007-12-31,492.83,494.76,465.91,490.81,
2008-01-31,490.81,497.13,355.81,393.87,
2008-02-29,393.87,437.71,390.57,427.11,
2008-03-31,427.11,427.3,390.41,411.99,
2008-04-30,411.99,467.07,409.25,463.22,
2008-05-31,463.22,523.61,462.91,497.25,
2008-06-30,497.25,501.31,455.65,463.45,
2008-07-31,463.45,464.47,397.29,424.05,
2008-08-31,424.05,427.23,395.05,425.73,
2008-09-30,425.73,426.5,289.31,318.38,
2008-10-31,318.38,326.27,204.67,244.8,
2008-11-30,244.8,273.36,180.4,219.87,
2008-12-31,219.87,225.56,189.15,225.48,
2009-01-31,225.48,254.22,212.88,225.84,
2009-02-28,225.84,243.14,201.72,214.64,
2009-03-31,214.64,238.43,197.2,226.34,
2009-04-30,226.34,255.05,218.98,252.63,
2009-05-31,252.63,294.83,252.63,292.62,
2009-06-30,292.62,310.85,265.95,282.35,
2009-07-31,282.35,301.23,258.78,297.57,
2009-08-31,297.57,315.78,291.08,300.18,
2009-09-30,300.18,330.08,292.41,323.46,
2009-10-31,323.46,352.01,309.23,331.35,
2009-11-30,331.35,363.24,323.6,349.15,
2009-12-31,349.15,375.42,349.15,371.56,
2010-01-31,371.56,389.52,349.89,362.73,
2010-02-28,362.73,373.01,339.39,350.42,
2010-03-31,350.42,377.33,350.42,376.7,
2010-04-30,376.7,396.61,376.7,383.02,
2010-05-31,383.02,388.25,326.71,344.23,
2010-06-30,344.23,370.82,323.48,328.12,
2010-07-31,328.12,369.49,317.79,358.41,
2010-08-31,358.41,378.5,340.52,352.66,
2010-09-30,352.66,385.94,352.55,381.43,
2010-10-31,381.43,405.24,378.75,404.62,
2010-11-30,404.62,416.56,395.5,396.07,
2010-12-31,396.07,441.54,396.07,439.72,
2011-01-31,439.72,447.37,422.98,430.24,1971275470
2011-02-28,430.24,448.7,430.24,446.16,2479066558
2011-03-31,446.16,451.56,409.63,445.41,2535825196
2011-04-30,445.41,456.71,427.46,447.74,1723199451
2011-05-31,447.74,449.69,423.24,440.91,2795951797
2011-06-30,440.91,441.46,400.16,421.33,2113144861
2011-07-31,421.33,432.31,404.98,417.65,2349158472
2011-08-31,417.65,423.96,324.75,378.47,3193334431
2011-09-30,378.47,382.64,332.86,348.28,2367659202
2011-10-31,348.28,396.23,321.53,384.22,2472281801
2011-11-30,384.22,394.16,344.77,380.85,2570497487
2011-12-31,380.85,387.9,358.54,384.95,1728636017
2012-01-31,384.95,401.8,383.73,397.36,2288367501
2012-02-29,397.36,432.33,397.17,429.85,2398824625
2012-03-31,429.85,436.5,410.24,426.61,2252499931
2012-04-30,426.61,431.36,407.24,421.21,1648866817
2012-05-31,421.21,425.97,382.22,384.36,1945705733
2012-06-30,384.36,407.5,369.24,407.09,2224242212
2012-07-31,407.09,427.69,403.43,423.31,1496092002
2012-08-31,423.31,441.16,416.26,435.22,1387837122
2012-09-30,435.22,461.17,431.3,445.92,1913597566
2012-10-31,445.92,454.09,434.41,442.18,1720161562
2012-11-30,442.18,447.46,428.27,442.08,1645360198
2012-12-31,442.09,451.14,435.94,444.09,1599803475
2013-01-31,444.11,472.42,444.11,465.79,2424316403
2013-02-28,466.02,476.49,463.61,473.07,1888447062
2013-03-31,473.07,483.83,469.41,471.21,2138938443
2013-04-30,471.22,481.19,457.0,480.13,2292786389
2013-05-31,480.02,496.69,474.35,491.71,2759497750
2013-06-30,491.71,491.85,457.97,468.79,1991306872
2013-07-31,468.77,499.34,468.0,495.36,1921340808
2013-08-31,495.41,504.01,491.38,496.78,2211107146
2013-09-30,496.78,512.67,496.77,501.76,2217181785
2013-10-31,501.82,541.0,494.62,532.33,2354246516
2013-11-30,532.29,546.13,531.29,542.79,2665423689
2013-12-31,542.8,551.7,524.23,548.86,1948576809
2014-01-31,549.09,566.95,533.74,535.73,2554972850
2014-02-28,535.73,557.64,530.39,555.72,2099847852
2014-03-31,555.5,563.67,536.0,561.95,2050456643
2014-04-30,561.95,580.93,540.15,578.37,1595383288
2014-05-31,578.5,607.56,578.5,605.26,1853744147
2014-06-30,605.26,632.37,605.26,617.88,1407977576
2014-07-31,617.9,630.47,605.31,612.29,1457706698
2014-08-31,612.27,617.3,582.31,610.17,1689571052
2014-09-30,610.19,622.02,599.43,609.38,1715255855
2014-10-31,609.31,609.78,528.36,585.28,2388544580
